,Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score,model,LR
62,ESN,bracket_matching,medium,10000,2000,2,classification,,0.132,esn_10k_medium,
63,ESN,bracket_matching,medium,10000,2000,3,classification,,0.149,esn_10k_medium,
64,ESN,bracket_matching,medium,10000,2000,4,classification,,0.1899999999999999,esn_10k_medium,
65,ESN,bracket_matching,medium,10000,2000,5,classification,,0.164,esn_10k_medium,
66,ESN,bracket_matching,medium,10000,2000,6,classification,,0.153,esn_10k_medium,
67,ESN,bracket_matching,medium,10000,2000,7,classification,,0.166,esn_10k_medium,
68,ESN,bracket_matching,medium,10000,2000,8,classification,,0.177,esn_10k_medium,
69,ESN,bracket_matching,medium,10000,2000,9,classification,,0.146,esn_10k_medium,
70,ESN,simple_copy,medium,10000,8000,0,classification,,0.7030799999999999,esn_10k_medium,
71,ESN,simple_copy,medium,10000,8000,1,classification,,0.69994,esn_10k_medium,
72,ESN,simple_copy,medium,10000,8000,2,classification,,0.7071799999999999,esn_10k_medium,
73,ESN,simple_copy,medium,10000,8000,3,classification,,0.70158,esn_10k_medium,
74,ESN,simple_copy,medium,10000,8000,4,classification,,0.70172,esn_10k_medium,
75,ESN,simple_copy,medium,10000,8000,5,classification,,0.7016800000000001,esn_10k_medium,
76,ESN,simple_copy,medium,10000,8000,6,classification,,0.7025399999999999,esn_10k_medium,
77,ESN,simple_copy,medium,10000,8000,7,classification,,0.69946,esn_10k_medium,
78,ESN,simple_copy,medium,10000,8000,8,classification,,0.70118,esn_10k_medium,
79,ESN,simple_copy,medium,10000,8000,9,classification,,0.70304,esn_10k_medium,
80,ESN,selective_copy,medium,10000,8000,0,classification,,0.6996,esn_10k_medium,
81,ESN,selective_copy,medium,10000,8000,1,classification,,0.6989000000000001,esn_10k_medium,
82,ESN,selective_copy,medium,10000,8000,2,classification,,0.698,esn_10k_medium,
83,ESN,selective_copy,medium,10000,8000,3,classification,,0.6990000000000001,esn_10k_medium,
84,ESN,selective_copy,medium,10000,8000,4,classification,,0.7032,esn_10k_medium,
85,ESN,selective_copy,medium,10000,8000,5,classification,,0.7009000000000001,esn_10k_medium,
86,ESN,selective_copy,medium,10000,8000,6,classification,,0.7028,esn_10k_medium,
87,ESN,selective_copy,medium,10000,8000,7,classification,,0.6976,esn_10k_medium,
88,ESN,selective_copy,medium,10000,8000,8,classification,,0.6981999999999999,esn_10k_medium,
89,ESN,selective_copy,medium,10000,8000,9,classification,,0.6992,esn_10k_medium,
90,ESN,adding_problem,medium,10000,15000,0,classification,,0.737,esn_10k_medium,
91,ESN,adding_problem,medium,10000,15000,1,classification,,0.7130000000000001,esn_10k_medium,
92,ESN,adding_problem,medium,10000,15000,2,classification,,0.688,esn_10k_medium,
93,ESN,adding_problem,medium,10000,15000,3,classification,,0.696,esn_10k_medium,
94,ESN,adding_problem,medium,10000,15000,4,classification,,0.6890000000000001,esn_10k_medium,
95,ESN,adding_problem,medium,10000,15000,5,classification,,0.738,esn_10k_medium,
96,ESN,adding_problem,medium,10000,15000,6,classification,,0.6930000000000001,esn_10k_medium,
97,ESN,adding_problem,medium,10000,15000,7,classification,,0.741,esn_10k_medium,
98,ESN,adding_problem,medium,10000,15000,8,classification,,0.718,esn_10k_medium,
99,ESN,adding_problem,medium,10000,15000,9,classification,,0.7150000000000001,esn_10k_medium,
