,associative_recall,bracket_matching,induction_heads,selective_copy,simple_copy,sorting_problem
ESN,0.56,0.87,0.99,0.5900000000000001,1.0,0.5700000000000001
GRU,0.65,0.8200000000000001,0.65,0.78,0.51,0.5800000000000001
LSTM,0.43000000000000005,0.79,0.63,0.48,0.43000000000000005,0.51
MAMBA,0.41000000000000003,0.71,0.52,0.79,0.5800000000000001,0.49
TRANSFORMER_DECODER,0.64,0.81,1.0,0.95,1.0,1.0
TRANSFORMER_ENCDEC,0.61,0.73,1.0,0.83,1.0,1.0
XLSTM,0.6,0.94,0.61,0.6599999999999999,0.5800000000000001,0.95
