,associative_recall,bracket_matching,induction_heads,selective_copy,simple_copy,sorting_problem
ESN,0.24,0.87,0.36,0.30000000000000004,0.30000000000000004,0.29000000000000004
GRU,0.12,0.99,0.53,0.77,0.36,0.83
LSTM,0.08999999999999997,1.0,0.22999999999999998,0.14,0.16000000000000003,0.43999999999999995
MAMBA,0.08999999999999997,0.98,0.88,1.0,0.87,1.0
TRANSFORMER_DECODER,0.32999999999999996,0.96,1.0,1.0,1.0,1.0
TRANSFORMER_ENCDEC,0.21999999999999997,0.99,1.0,0.99,1.0,1.0
XLSTM,0.15000000000000002,1.0,0.75,0.77,0.49,0.94
