Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
XLSTM,simple_copy,small,1000,4427,0.01,0,classification,0.5,0.5077272727272728
XLSTM,simple_copy,small,1000,4427,0.01,1,classification,0.5886363636363636,0.6109090909090908
XLSTM,simple_copy,small,1000,4427,0.01,2,classification,0.5886363636363636,0.6209090909090909
XLSTM,simple_copy,small,1000,4427,0.01,3,classification,0.4613636363636363,0.47363636363636363
XLSTM,simple_copy,small,1000,4427,0.01,4,classification,0.6113636363636363,0.6231818181818182
XLSTM,simple_copy,small,1000,4427,0.01,5,classification,0.4772727272727273,0.49090909090909096
XLSTM,simple_copy,small,1000,4427,0.01,6,classification,0.6068181818181818,0.6836363636363636
XLSTM,simple_copy,small,1000,4427,0.01,7,classification,0.5,0.5540909090909091
XLSTM,simple_copy,small,1000,4427,0.01,8,classification,0.4727272727272728,0.48818181818181816
XLSTM,simple_copy,small,1000,4427,0.01,9,classification,0.5886363636363636,0.6054545454545455
XLSTM,simple_copy,small,1000,4427,0.003,0,classification,0.55,0.5672727272727273
XLSTM,simple_copy,small,1000,4427,0.003,1,classification,0.5568181818181819,0.55
XLSTM,simple_copy,small,1000,4427,0.003,2,classification,0.4772727272727273,0.4954545454545455
XLSTM,simple_copy,small,1000,4427,0.003,3,classification,0.4636363636363636,0.4745454545454545
XLSTM,simple_copy,small,1000,4427,0.003,4,classification,0.5318181818181817,0.5713636363636363
XLSTM,simple_copy,small,1000,4427,0.003,5,classification,0.48636363636363633,0.4840909090909091
XLSTM,simple_copy,small,1000,4427,0.003,6,classification,0.4772727272727273,0.4795454545454545
XLSTM,simple_copy,small,1000,4427,0.003,7,classification,0.5227272727272727,0.5736363636363636
XLSTM,simple_copy,small,1000,4427,0.003,8,classification,0.4772727272727273,0.48590909090909096
XLSTM,simple_copy,small,1000,4427,0.003,9,classification,0.5818181818181818,0.6077272727272727
XLSTM,simple_copy,small,1000,4427,0.001,0,classification,0.5318181818181817,0.5668181818181819
XLSTM,simple_copy,small,1000,4427,0.001,1,classification,0.5909090909090908,0.615
XLSTM,simple_copy,small,1000,4427,0.001,2,classification,0.5863636363636364,0.6027272727272728
XLSTM,simple_copy,small,1000,4427,0.001,3,classification,0.5386363636363636,0.5586363636363636
XLSTM,simple_copy,small,1000,4427,0.001,4,classification,0.5386363636363636,0.5627272727272727
XLSTM,simple_copy,small,1000,4427,0.001,5,classification,0.5886363636363636,0.6190909090909091
XLSTM,simple_copy,small,1000,4427,0.001,6,classification,0.6068181818181818,0.6795454545454546
XLSTM,simple_copy,small,1000,4427,0.001,7,classification,0.49318181818181817,0.5481818181818181
XLSTM,simple_copy,small,1000,4427,0.001,8,classification,0.5386363636363636,0.5831818181818182
XLSTM,simple_copy,small,1000,4427,0.001,9,classification,0.5931818181818183,0.6131818181818182
XLSTM,simple_copy,small,1000,4427,0.0003,0,classification,0.5727272727272728,0.6077272727272727
XLSTM,simple_copy,small,1000,4427,0.0003,1,classification,0.5863636363636364,0.6086363636363636
XLSTM,simple_copy,small,1000,4427,0.0003,2,classification,0.5840909090909091,0.5954545454545455
XLSTM,simple_copy,small,1000,4427,0.0003,3,classification,0.5704545454545454,0.5872727272727273
XLSTM,simple_copy,small,1000,4427,0.0003,4,classification,0.6295454545454545,0.6736363636363636
XLSTM,simple_copy,small,1000,4427,0.0003,5,classification,0.5590909090909091,0.5754545454545454
XLSTM,simple_copy,small,1000,4427,0.0003,6,classification,0.5886363636363636,0.6281818181818182
XLSTM,simple_copy,small,1000,4427,0.0003,7,classification,0.4954545454545455,0.5581818181818181
XLSTM,simple_copy,small,1000,4427,0.0003,8,classification,0.5772727272727273,0.6068181818181818
XLSTM,simple_copy,small,1000,4427,0.0003,9,classification,0.6454545454545455,0.6663636363636364
XLSTM,simple_copy,small,1000,4427,0.0001,0,classification,0.5863636363636364,0.6213636363636363
XLSTM,simple_copy,small,1000,4427,0.0001,1,classification,0.5863636363636364,0.6009090909090908
XLSTM,simple_copy,small,1000,4427,0.0001,2,classification,0.6386363636363637,0.6627272727272727
XLSTM,simple_copy,small,1000,4427,0.0001,3,classification,0.5727272727272728,0.5904545454545455
XLSTM,simple_copy,small,1000,4427,0.0001,4,classification,0.6295454545454545,0.6736363636363636
XLSTM,simple_copy,small,1000,4427,0.0001,5,classification,0.5863636363636364,0.5818181818181818
XLSTM,simple_copy,small,1000,4427,0.0001,6,classification,0.5772727272727273,0.6127272727272728
XLSTM,simple_copy,small,1000,4427,0.0001,7,classification,0.675,0.6768181818181818
XLSTM,simple_copy,small,1000,4427,0.0001,8,classification,0.5977272727272727,0.6145454545454545
XLSTM,simple_copy,small,1000,4427,0.0001,9,classification,0.6386363636363637,0.615
XLSTM,simple_copy,small,10000,9803,0.01,0,classification,0.5022727272727272,0.5004545454545455
XLSTM,simple_copy,small,10000,9803,0.01,1,classification,0.5863636363636364,0.5772727272727273
XLSTM,simple_copy,small,10000,9803,0.01,2,classification,0.4818181818181818,0.4813636363636363
XLSTM,simple_copy,small,10000,9803,0.01,3,classification,0.47045454545454546,0.48
XLSTM,simple_copy,small,10000,9803,0.01,4,classification,0.4363636363636364,0.4613636363636363
XLSTM,simple_copy,small,10000,9803,0.01,5,classification,0.4840909090909091,0.4790909090909091
XLSTM,simple_copy,small,10000,9803,0.01,6,classification,0.4795454545454545,0.4790909090909091
XLSTM,simple_copy,small,10000,9803,0.01,7,classification,0.48636363636363633,0.5186363636363636
XLSTM,simple_copy,small,10000,9803,0.01,8,classification,0.4727272727272728,0.4740909090909091
XLSTM,simple_copy,small,10000,9803,0.01,9,classification,0.4818181818181818,0.4813636363636363
XLSTM,simple_copy,small,10000,9803,0.003,0,classification,0.4568181818181818,0.4727272727272728
XLSTM,simple_copy,small,10000,9803,0.003,1,classification,0.5340909090909092,0.5481818181818181
XLSTM,simple_copy,small,10000,9803,0.003,2,classification,0.5386363636363636,0.5531818181818182
XLSTM,simple_copy,small,10000,9803,0.003,3,classification,0.4363636363636364,0.4695454545454546
XLSTM,simple_copy,small,10000,9803,0.003,4,classification,0.509090909090909,0.5304545454545455
XLSTM,simple_copy,small,10000,9803,0.003,5,classification,0.43181818181818177,0.4363636363636364
XLSTM,simple_copy,small,10000,9803,0.003,6,classification,0.5568181818181819,0.5668181818181819
XLSTM,simple_copy,small,10000,9803,0.003,7,classification,0.4363636363636364,0.48818181818181816
XLSTM,simple_copy,small,10000,9803,0.003,8,classification,0.5318181818181817,0.5554545454545454
XLSTM,simple_copy,small,10000,9803,0.003,9,classification,0.5431818181818182,0.5459090909090909
XLSTM,simple_copy,small,10000,9803,0.001,0,classification,0.55,0.5495454545454546
