Model,Task,Difficulty,Target_Params,Actual_Params,LR,Seed,Category,Best_Val_Score,Test_Score
MAMBA,sinus_forecasting,small,10000,9621,0.01,4,regression,0.013774357331099493,0.01574340728688956
MAMBA,sinus_forecasting,small,10000,9621,0.01,5,regression,0.012471171024722451,0.006404849616931443
MAMBA,sinus_forecasting,small,10000,9621,0.01,6,regression,0.009872956702425807,0.00785582026164291
MAMBA,sinus_forecasting,small,10000,9621,0.01,7,regression,0.013043513979567803,0.011715839381440921
MAMBA,sinus_forecasting,small,10000,9621,0.01,8,regression,0.013281230853999914,0.009102543773934688
MAMBA,sinus_forecasting,small,10000,9621,0.01,9,regression,0.011954824783385953,0.006390197957438014
MAMBA,sinus_forecasting,small,10000,9621,0.003,0,regression,0.01105186358824371,0.007951704046847387
MAMBA,sinus_forecasting,small,10000,9621,0.003,1,regression,0.010417255468202291,0.013881178464229182
MAMBA,sinus_forecasting,small,10000,9621,0.003,2,regression,0.01061266138586714,0.007461202399591186
MAMBA,sinus_forecasting,small,10000,9621,0.003,3,regression,0.004928800335523778,0.023131074432323394
MAMBA,sinus_forecasting,small,10000,9621,0.003,4,regression,0.019582440309351308,0.04318267095407735
MAMBA,sinus_forecasting,small,10000,9621,0.003,5,regression,0.013613446921469438,0.008144106666065375
MAMBA,sinus_forecasting,small,10000,9621,0.003,6,regression,0.011556153447313807,0.011547827809755046
MAMBA,sinus_forecasting,small,10000,9621,0.003,7,regression,0.006865600255269617,0.033658065543022454
MAMBA,sinus_forecasting,small,10000,9621,0.003,8,regression,0.014937477024521594,0.03283139850657233
MAMBA,sinus_forecasting,small,10000,9621,0.003,9,regression,0.013953388106803183,0.00909700367333941
MAMBA,sinus_forecasting,small,10000,9621,0.001,0,regression,0.007063120951689648,0.01202550507940004
MAMBA,sinus_forecasting,small,10000,9621,0.001,1,regression,0.01029769327150613,0.013137018293328582
MAMBA,sinus_forecasting,small,10000,9621,0.001,2,regression,0.009234785582276018,0.0127140895779197
MAMBA,sinus_forecasting,small,10000,9621,0.001,3,regression,0.0026118710257296467,0.020179463397512754
MAMBA,sinus_forecasting,small,10000,9621,0.001,4,regression,0.006148292130612321,0.029135442398152574
MAMBA,sinus_forecasting,small,10000,9621,0.001,5,regression,0.01335034839705361,0.008462903936036993
MAMBA,sinus_forecasting,small,10000,9621,0.001,6,regression,0.006999641776365804,0.01501099195404355
MAMBA,sinus_forecasting,small,10000,9621,0.001,7,regression,0.007299367176747442,0.034590699856910004
MAMBA,sinus_forecasting,small,10000,9621,0.001,8,regression,0.00845750950549439,0.026021742209986865
MAMBA,sinus_forecasting,small,10000,9621,0.001,9,regression,0.008024416516810514,0.012819416155497677
MAMBA,sinus_forecasting,small,10000,9621,0.0003,0,regression,0.007420948817001297,0.009989323935198404
MAMBA,sinus_forecasting,small,10000,9621,0.0003,1,regression,0.010121631011100831,0.01227262440171651
MAMBA,sinus_forecasting,small,10000,9621,0.0003,2,regression,0.007025464515610059,0.01035396868101108
MAMBA,sinus_forecasting,small,10000,9621,0.0003,3,regression,0.0033010702900616736,0.01866847083744018
MAMBA,sinus_forecasting,small,10000,9621,0.0003,4,regression,0.003968080405305998,0.024461205384229592
MAMBA,sinus_forecasting,small,10000,9621,0.0003,5,regression,0.04047994965808408,0.016324172932837736
MAMBA,sinus_forecasting,small,10000,9621,0.0003,6,regression,0.005050403518616801,0.012791328412217511
MAMBA,sinus_forecasting,small,10000,9621,0.0003,7,regression,0.009256800829985062,0.03179726023870464
MAMBA,sinus_forecasting,small,10000,9621,0.0003,8,regression,0.0021738937115843735,0.017808971028638477
MAMBA,sinus_forecasting,small,10000,9621,0.0003,9,regression,0.005638415314687253,0.009430096329906936
MAMBA,sinus_forecasting,small,10000,9621,0.0001,0,regression,0.009129327908064743,0.008528461495454621
MAMBA,sinus_forecasting,small,10000,9621,0.0001,1,regression,0.01051123587474746,0.011066782001105821
MAMBA,sinus_forecasting,small,10000,9621,0.0001,2,regression,0.008076038537229522,0.009547575180230769
MAMBA,sinus_forecasting,small,10000,9621,0.0001,3,regression,0.004271154737529372,0.015364698283963456
MAMBA,sinus_forecasting,small,10000,9621,0.0001,4,regression,0.005008524612471483,0.018565891273565026
MAMBA,sinus_forecasting,small,10000,9621,0.0001,5,regression,0.0207038895289832,0.008384544263365006
MAMBA,sinus_forecasting,small,10000,9621,0.0001,6,regression,0.005432891926052648,0.011733328951463215
MAMBA,sinus_forecasting,small,10000,9621,0.0001,7,regression,0.011277083475696406,0.02244242497657037
MAMBA,sinus_forecasting,small,10000,9621,0.0001,8,regression,0.002227579712842562,0.01363072749245211
MAMBA,sinus_forecasting,small,10000,9621,0.0001,9,regression,0.007187348798310652,0.00852983222325737
MAMBA,sinus_forecasting,small,100000,98001,0.01,0,regression,0.011553217380111225,0.024951873445132666
MAMBA,sinus_forecasting,small,100000,98001,0.01,1,regression,0.00036664365553584234,0.05234396284828225
MAMBA,sinus_forecasting,small,100000,98001,0.01,2,regression,0.00029933677660808446,0.06170779240052593
MAMBA,sinus_forecasting,small,100000,98001,0.01,3,regression,0.014117115373557412,0.1604237334151725
MAMBA,sinus_forecasting,small,100000,98001,0.01,4,regression,0.0474362083752862,0.07676457199045024
MAMBA,sinus_forecasting,small,100000,98001,0.01,5,regression,0.003014017266813267,0.0617502032703055
MAMBA,sinus_forecasting,small,100000,98001,0.01,6,regression,0.007509349450326892,0.03111802794826875
MAMBA,sinus_forecasting,small,100000,98001,0.01,7,regression,0.009166966742085593,0.017349571929747818
MAMBA,sinus_forecasting,small,100000,98001,0.01,8,regression,0.050547150587340516,0.07298386638446157
MAMBA,sinus_forecasting,small,100000,98001,0.01,9,regression,0.0020759590617119173,0.020517468116687032
MAMBA,sinus_forecasting,small,100000,98001,0.003,0,regression,0.009897695191165476,0.008021592334053522
